Tweet original,Human subject sentiment,LabMT sentiment,WSUV sentiment,combined sentiment
#backpacking all weekend got us tired!  Planning our next #escape   #bigswingsapp #travel #hike #swim #ttot #sun https://t.co/wfmqQnsfGm,6.266666667,5.833333333,6.788836046,6.326149354
#bucketlist #Batanes the northern most #island of the #PH Said to have slow paced living and views of grandeur #ttot https://t.co/oEQmgLPwQT,6.304347826,5.23,6.472547921,5.753019168
#CostaRica offers lots #adventure activities #nature #photography. Great #vacation destination! https://t.co/2bZmezhb6r,6.456521739,6.7,7.333675354,7.333675354
#Didyouknow booking a holiday is a great way to combat #JanuaryBlues?  https://t.co/8ot4NMkNpx  #ttot  @STN_Airport #TravelTuesday,6.195652174,6.253333333,6.822343206,5.636937282
#Explore the Crusader Castles of #NorthCyprus today with our daily or week long walking tours. #active #holidays https://t.co/4TSqymFT95,6.630434783,6.36,6.671602619,6.159447765
"#Stay at the #Tropicana #LasVegas Super Low #Winter Rates, book at #roomandmore.com   #travel #vacation #ttot #hotels #resort #booking #deal",5.304347826,6.193333333,6.26902331,5.9592487
#Taipei here I come!   First time #couchsurfing but super excited! #Taiwan #travel #ttot @Couchsurfing,6.681818182,7.65,6.216706591,5.882248839
#Travel #ttot Dubai Government issues statement on massive fire at THE ADDRESS Hotel downtown: After a massive... https://t.co/XPQWTgybXm,2.466666667,4.62,5.795431219,5.262980348
#Travel Q: MIA to San Fran @ $250 plane tix a low? How low could I go? #girlstravel #wanderful #ttot ##runcation #travelphotography #vote,5.434782609,4.54,5.517798084,5.314537725
#traveltuesday avoid @HeathrowAirport Terminal3 arrivals - flu another airline if necessary #ttot chaos no electronic stations,2.913043478,3.876,5.151916377,4.722305459
#ttot  universal language of the smile and laughter:) https://t.co/FTo7LOTMsu,6.577777778,7.375,5.837209302,5.899534884
"#ttot Forgot to check-in online?Not to worry,utilize self-checkin machines in the parkades &amp;terminal then do a bag drop with your airline",6.022222222,4.24,5.814651599,5.264263653
#Udaipur Lake Palace #Rajasthan #photo great #wedding &amp; #honeymoon destination #travel #ttot #road2travel 4 more https://t.co/jlRg0Qm8ls,5.173913043,6.925,6.945455771,6.867071796
#ValentinesDay is coming you can submit your #Cyprus #events here https://t.co/DHFf0to0VA it's free. #happylife #travel #love #dinner #ttot,5.804347826,7.96,6.393246837,5.913298735
@findery I could use a week at an all inclusive resort right now! Can't wait to hear your tips #finderychat #ttot,6.177777778,5.135,5.07943074,5.276000949
@LeightonDennyEN Blood donor for British crash victim in #Thailand needed asap! Please share! #LucyHill #ttothttps://t.co/Gtyaw32xbx,2.956521739,3.895,4.815503876,4.798501292
@passion_4travel A First Time Visitors Guide to New York City https://t.co/luJufxC5Mk #ttot #travel,5.739130435,6.21,6.26015556,6.043735356
@sthi1285 @travelabouts We're on Curacao right now and I wonder if there's some kind of regulation when we come back to the US. #zika #ttot,4.311111111,7.24,5.790019865,5.535005959
@TK_INDIA Don't lie. You are the worst airline company and worst customer service of the world. https://t.co/1fUgAEQdmy,3.739130435,3.836666667,3.471216612,4.613544851
@tuiindia amazing ad! Spread that #wanderlust and get everyone #adventuring :)   https://t.co/569n13R8fe,5.956521739,7.66,7.66031746,6.332619048
@zamlos we headed to there in the fall (https://t.co/BkPD1mhyEu) - looks just as beautiful this time of year!  https://t.co/tHtnAykkaA,6.866666667,7.92,6.245363918,5.602577982
