Tweet original,Human subject sentiment,LabMT sentiment,WSUV sentiment,Combined,TravelMT,Vader Sentiment Regular,Vader Sentiment Regex
#backpacking all weekend got us tired!  Planning our next #escape   #bigswingsapp #travel #hike #swim #ttot #sun https://t.co/wfmqQnsfGm,6.266666667,5.882222222,6.788836046,6.027534418,6.387873176,3.0296,3.0296
#bucketlist #Batanes the northern most #island of the #PH Said to have slow paced living and views of grandeur #ttot https://t.co/oEQmgLPwQT,6.304347826,5.312307692,6.472547921,5.753019168,5.684344565,7.1068,7.1068
#CostaRica offers lots #adventure activities #nature #photography. Great #vacation destination! https://t.co/2bZmezhb6r,6.456521739,6.7,7.362506305,7.362506305,7.397679872,7.6352,7.6352
#Didyouknow booking a holiday is a great way to combat #JanuaryBlues?  https://t.co/8ot4NMkNpx  #ttot  @STN_Airport #TravelTuesday,6.195652174,5.58,6.822343206,5.636937282,5.659159892,7.6388,7.6388
#Explore the Crusader Castles of #NorthCyprus today with our daily or week long walking tours. #active #holidays https://t.co/4TSqymFT95,6.630434783,5.545454545,6.700339279,6.214503822,6.256609693,5,5
"#Stay at the #Tropicana #LasVegas Super Low #Winter Rates, book at #roomandmore.com   #travel #vacation #ttot #hotels #resort #booking #deal",5.304347826,5.475555556,6.086004277,5.80973647,5.835288297,6.686,6.686
#Taipei here I come!   First time #couchsurfing but super excited! #Taiwan #travel #ttot @Couchsurfing,6.681818182,6.108888889,6.491396347,6.081797676,6.077139924,8.504,8.504
#Travel #ttot Dubai Government issues statement on massive fire at THE ADDRESS Hotel downtown: After a massive... https://t.co/XPQWTgybXm,2.466666667,5.17375,5.89488156,5.332150488,5.304087118,3.64,3.64
#Travel Q: MIA to San Fran @ $250 plane tix a low? How low could I go? #girlstravel #wanderful #ttot ##runcation #travelphotography #vote,5.434782609,5.065714286,5.000604094,5.102726535,4.910204923,1.9704,1.9704
#traveltuesday avoid @HeathrowAirport Terminal3 arrivals - flu another airline if necessary #ttot chaos no electronic stations,2.913043478,4.482,5.151916377,4.722305459,4.652904656,1.5368,1.5368
#ttot  universal language of the smile and laughter:) https://t.co/FTo7LOTMsu,6.577777778,6.377142857,5.837209302,6.2710299,6.2710299,6.4448,7.7632
